ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2019-06-23T18:56:00.000,0.6463,-0.7453,0.1302,-53.85,118.72,178.66
2019-06-23T18:57:00.000,0.6443,-0.7463,0.1302,-53.83,119.63,179.49
2019-06-23T18:58:00.000,0.6434,-0.7443,0.1301,-52.13,119.65,177.86
2019-06-23T18:59:00.000,0.6444,-0.7453,0.1282,-55.63,120.58,176.93
2019-06-23T19:00:00.000,0.6453,-0.7453,0.1292,-55.57,118.71,179.45
2019-06-23T19:01:00.000,0.6463,-0.7443,0.1292,-53.85,119.64,178.66
2019-06-23T19:02:00.000,0.6444,-0.7463,0.1262,-55.66,119.66,176.11
2019-06-23T19:03:00.000,0.6444,-0.7483,0.1262,-54.77,117.81,176.98
2019-06-23T19:04:00.000,0.6453,-0.7433,0.1292,-53.89,120.58,176.98
2019-06-23T19:05:00.000,0.6454,-0.7433,0.1282,-54.81,120.59,175.29
2019-06-23T19:06:00.000,0.6444,-0.7463,0.1282,-54.74,119.65,177.80
2019-06-23T19:07:00.000,0.6453,-0.7463,0.1302,-53.04,121.51,176.16
2019-06-23T19:08:00.000,0.6444,-0.7463,0.1282,-57.31,121.48,179.39
2019-06-23T19:09:00.000,0.6463,-0.7473,0.1292,-54.74,120.57,177.79
2019-06-23T19:10:00.000,0.6424,-0.7453,0.1291,-53.00,118.73,177.85
2019-06-23T19:11:00.000,0.6443,-0.7463,0.1312,-55.66,121.51,176.09
2019-06-23T19:12:00.000,0.6434,-0.7463,0.1292,-54.76,118.73,176.97
2019-06-23T19:13:00.000,0.6444,-0.7443,0.1272,-52.97,120.57,178.67
2019-06-23T19:14:00.000,0.6443,-0.7463,0.1312,-56.48,120.57,177.75
2019-06-23T19:15:00.000,0.6434,-0.7463,0.1292,-54.74,119.65,177.80
2019-06-23T19:16:00.000,0.6454,-0.7423,0.1291,-55.61,118.72,177.78
2019-06-23T19:17:00.000,0.6434,-0.7473,0.1292,-54.77,117.81,176.98
2019-06-23T19:18:00.000,0.6453,-0.7443,0.1302,-54.76,120.58,176.96
2019-06-23T19:19:00.000,0.6453,-0.7473,0.1302,-54.67,120.55,180.30
2019-06-23T19:20:00.000,0.6433,-0.7443,0.1321,-55.59,120.56,178.60
2019-06-23T19:21:00.000,0.6414,-0.7463,0.1282,-53.00,117.80,177.86
2019-06-23T19:22:00.000,0.6453,-0.7443,0.1302,-54.67,121.47,180.29
2019-06-23T19:23:00.000,0.6444,-0.7463,0.1292,-54.76,118.73,176.97
2019-06-23T19:24:00.000,0.6434,-0.7453,0.1292,-53.80,122.40,180.30
2019-06-23T19:25:00.000,0.6463,-0.7463,0.1282,-52.93,120.55,180.34
2019-06-23T19:26:00.000,0.6444,-0.7453,0.1292,-55.59,121.49,178.60
2019-06-23T19:27:00.000,0.6463,-0.7473,0.1302,-55.55,121.47,180.27
